# Список параграфов из оглавления
# Формат: номер_параграфа, название, начальная_страница, конечная_страница

# Введение
intro, Введение, 3, 4

# Глава I
chapter_I, Глава I. Россия в годы Первой мировой войны и Великой российской революции. 1914—1922 гг., 5, 5

# Параграфы главы I
1, Россия и мир накануне Первой мировой войны, 6, 14
2, Российская армия на фронтах Первой мировой войны, 15, 26
3, Власть, экономика и общество в годы Первой мировой войны. Нарастание революционных настроений, 27, 35
4, Великая российская революция: Февраль 1917 г., 36, 50
5, Великая российская революция: Октябрь 1917 г., 51, 63
6, Первые революционные преобразования большевиков, 64, 77
7, Экономическая политика советской власти. «Военный коммунизм», 78, 86
8, Гражданская война: истоки и основные участники, 87, 96
9, На фронтах Гражданской войны, 97, 114
10, Революция и Гражданская война на национальных окраинах, 115, 124
11-12, Идеология и культура в годы Гражданской войны. Перемены в повседневной жизни и общественных настроениях, 125, 140

# Дополнительные материалы главы I
summary_I, Итоги главы, 141, 141
questions_I, Вопросы и задания к главе, 142, 143
topics_I, Темы проектов, 143, 143
resources_I, Ресурсы к главе, 143, 148

# Глава II
chapter_II, Глава II. Советский Союз в 1920—1930-е гг., 149, 149

# Параграфы главы II
13, Экономический и политический кризис начала 1920-х гг. Переход к нэпу, 150, 157
14, Экономическое и социальное развитие в годы нэпа, 158, 166
15, Образование СССР. Национальная политика в 1920-е гг., 167, 177
16, Политическое развитие в 1920-е гг., 178, 183
17, Международное положение и внешняя политика СССР в 1920-е гг., 184, 193
18, Культурное пространство советского общества в 1920-е гг., 194, 206
19, «Великий перелом». Индустриализация, 207, 220
20, Коллективизация сельского хозяйства, 221, 228
21, Политическая система и национальная политика СССР в 1930-е гг., 229, 239
22-23, Культурное пространство советского общества в 1930-е гг.: создание «нового человека». Развитие науки, образования, здравоохранения, 240, 252
24, Советское искусство 1930-х гг., 253, 262
25-26, Повседневная жизнь населения в 1930-е гг. Русское Зарубежье и его роль в развитии мировой культуры, 263, 272
27, СССР и мировое сообщество в 1929—1939 гг., 273, 284
28, СССР накануне Великой Отечественной войны, 285, 295

# Дополнительные материалы главы II
summary_II, Итоги главы, 296, 296
questions_II, Вопросы и задания к главе, 297, 298
topics_II, Темы проектов, 298, 298
resources_II, Ресурсы к главе, 298, 306

# Глава III
chapter_III, Глава III. Великая Отечественная война. 1941—1945 гг., 307, 307

# Параграфы главы III
29, Начало Великой Отечественной войны, 308, 321
30, Битва за Москву и блокада Ленинграда, 322, 337
31, Фронт за линией фронта, 338, 353
32, Единство фронта и тыла, 354, 373
33, Сталинградская битва. Начало коренного перелома в ходе войны, 374, 389
34, Курская битва. Завершение коренного перелома, 390, 405
35, «Десять сталинских ударов» и изгнание врага с территории СССР, 406, 417
36, Наука и культура в годы войны, 418, 432
37-38, Освобождение народов Европы. Победа СССР в Великой Отечественной войне, 433, 452
39-40, Окончание Второй мировой войны. Итоги и уроки, 453, 471

# Дополнительные материалы главы III
summary_III, Итоги главы, 472, 473
questions_III, Вопросы и задания к главе, 474, 475
topics_III, Темы проектов, 475, 475
resources_III, Ресурсы к главе, 476, 481
